component,scenario,scenario_group,year,value,unit,source
Biomass,ExpertGuess-Biomass,Selected energy/feedstock,2033,71.2,€/t,"Haro et al. (2013), dry biomass basis"
Biomass,ExpertGuess-Biomass,Selected energy/feedstock,2034,71.2,€/t,"Haro et al. (2013), dry biomass basis"
Biomass,ExpertGuess-Biomass,Selected energy/feedstock,2035,71.2,€/t,"Haro et al. (2013), dry biomass basis"
Biomass,ExpertGuess-Biomass,Selected energy/feedstock,2036,71.2,€/t,"Haro et al. (2013), dry biomass basis"
Biomass,ExpertGuess-Biomass,Selected energy/feedstock,2037,71.2,€/t,"Haro et al. (2013), dry biomass basis"
Biomass,ExpertGuess-Biomass,Selected energy/feedstock,2038,71.2,€/t,"Haro et al. (2013), dry biomass basis"
Biomass,ExpertGuess-Biomass,Selected energy/feedstock,2039,71.2,€/t,"Haro et al. (2013), dry biomass basis"
Biomass,ExpertGuess-Biomass,Selected energy/feedstock,2040,71.2,€/t,"Haro et al. (2013), dry biomass basis"
Biomass,ExpertGuess-Biomass,Selected energy/feedstock,2041,71.2,€/t,"Haro et al. (2013), dry biomass basis"
Biomass,ExpertGuess-Biomass,Selected energy/feedstock,2042,71.2,€/t,"Haro et al. (2013), dry biomass basis"
Biomass,ExpertGuess-Biomass,Selected energy/feedstock,2043,71.2,€/t,"Haro et al. (2013), dry biomass basis"
Biomass,ExpertGuess-Biomass,Selected energy/feedstock,2044,71.2,€/t,"Haro et al. (2013), dry biomass basis"
Biomass,ExpertGuess-Biomass,Selected energy/feedstock,2045,71.2,€/t,"Haro et al. (2013), dry biomass basis"
Biomass,ExpertGuess-Biomass,Selected energy/feedstock,2046,71.2,€/t,"Haro et al. (2013), dry biomass basis"
Biomass,ExpertGuess-Biomass,Selected energy/feedstock,2047,71.2,€/t,"Haro et al. (2013), dry biomass basis"
Biomass,ExpertGuess-Biomass,Selected energy/feedstock,2048,71.2,€/t,"Haro et al. (2013), dry biomass basis"
Biomass,ExpertGuess-Biomass,Selected energy/feedstock,2049,71.2,€/t,"Haro et al. (2013), dry biomass basis"
Biomass,ExpertGuess-Biomass,Selected energy/feedstock,2050,71.2,€/t,"Haro et al. (2013), dry biomass basis"
CO2,Ariadne-Indikation-ExPol,Low carbon-price scenario,2025,80.27,€/t,
CO2,Ariadne-Indikation-ExPol,Low carbon-price scenario,2026,84.22,€/t,
CO2,Ariadne-Indikation-ExPol,Low carbon-price scenario,2027,88.16,€/t,
CO2,Ariadne-Indikation-ExPol,Low carbon-price scenario,2028,92.11,€/t,
CO2,Ariadne-Indikation-ExPol,Low carbon-price scenario,2029,96.05,€/t,
CO2,Ariadne-Indikation-ExPol,Low carbon-price scenario,2030,100,€/t,
CO2,Ariadne-Indikation-ExPol,Low carbon-price scenario,2031,108,€/t,
CO2,Ariadne-Indikation-ExPol,Low carbon-price scenario,2032,116,€/t,
CO2,Ariadne-Indikation-ExPol,Low carbon-price scenario,2033,124,€/t,
CO2,Ariadne-Indikation-ExPol,Low carbon-price scenario,2034,132,€/t,
CO2,Ariadne-Indikation-ExPol,Low carbon-price scenario,2035,140,€/t,
CO2,Ariadne-Indikation-ExPol,Low carbon-price scenario,2036,146,€/t,
CO2,Ariadne-Indikation-ExPol,Low carbon-price scenario,2037,152,€/t,
CO2,Ariadne-Indikation-ExPol,Low carbon-price scenario,2038,158,€/t,
CO2,Ariadne-Indikation-ExPol,Low carbon-price scenario,2039,164,€/t,
CO2,Ariadne-Indikation-ExPol,Low carbon-price scenario,2040,170,€/t,
CO2,Ariadne-Indikation-ExPol,Low carbon-price scenario,2041,176,€/t,
CO2,Ariadne-Indikation-ExPol,Low carbon-price scenario,2042,182,€/t,
CO2,Ariadne-Indikation-ExPol,Low carbon-price scenario,2043,188,€/t,
CO2,Ariadne-Indikation-ExPol,Low carbon-price scenario,2044,194,€/t,
CO2,Ariadne-Indikation-ExPol,Low carbon-price scenario,2045,200,€/t,
CO2,Ariadne-Indikation-ExPol,Low carbon-price scenario,2046,200,€/t,
CO2,Ariadne-Indikation-ExPol,Low carbon-price scenario,2047,200,€/t,
CO2,Ariadne-Indikation-ExPol,Low carbon-price scenario,2048,200,€/t,
CO2,Ariadne-Indikation-ExPol,Low carbon-price scenario,2049,200,€/t,
CO2,Ariadne-Indikation-ExPol,Low carbon-price scenario,2050,200,€/t,
CO2,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2025,108.84,€/t,
CO2,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2026,127.07,€/t,
CO2,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2027,145.3,€/t,
CO2,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2028,163.54,€/t,
CO2,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2029,181.77,€/t,
CO2,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2030,200,€/t,
CO2,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2031,220,€/t,
CO2,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2032,240,€/t,
CO2,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2033,260,€/t,
CO2,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2034,280,€/t,
CO2,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2035,300,€/t,
CO2,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2036,320,€/t,
CO2,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2037,340,€/t,
CO2,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2038,360,€/t,
CO2,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2039,380,€/t,
CO2,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2040,400,€/t,
CO2,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2041,420,€/t,
CO2,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2042,440,€/t,
CO2,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2043,460,€/t,
CO2,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2044,480,€/t,
CO2,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2045,500,€/t,
CO2,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2046,500,€/t,
CO2,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2047,500,€/t,
CO2,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2048,500,€/t,
CO2,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2049,500,€/t,
CO2,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2050,500,€/t,
CO2 EoL,Ariadne-Indikation-ExPol,Low carbon-price scenario,2025,80.27,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-ExPol,Low carbon-price scenario,2026,84.22,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-ExPol,Low carbon-price scenario,2027,88.16,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-ExPol,Low carbon-price scenario,2028,92.11,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-ExPol,Low carbon-price scenario,2029,96.05,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-ExPol,Low carbon-price scenario,2030,100,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-ExPol,Low carbon-price scenario,2031,108,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-ExPol,Low carbon-price scenario,2032,116,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-ExPol,Low carbon-price scenario,2033,124,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-ExPol,Low carbon-price scenario,2034,132,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-ExPol,Low carbon-price scenario,2035,140,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-ExPol,Low carbon-price scenario,2036,146,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-ExPol,Low carbon-price scenario,2037,152,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-ExPol,Low carbon-price scenario,2038,158,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-ExPol,Low carbon-price scenario,2039,164,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-ExPol,Low carbon-price scenario,2040,170,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-ExPol,Low carbon-price scenario,2041,176,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-ExPol,Low carbon-price scenario,2042,182,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-ExPol,Low carbon-price scenario,2043,188,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-ExPol,Low carbon-price scenario,2044,194,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-ExPol,Low carbon-price scenario,2045,200,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-ExPol,Low carbon-price scenario,2046,200,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-ExPol,Low carbon-price scenario,2047,200,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-ExPol,Low carbon-price scenario,2048,200,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-ExPol,Low carbon-price scenario,2049,200,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-ExPol,Low carbon-price scenario,2050,200,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2025,108.84,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2026,127.07,€/t,Ariadne
CO2 EoL,Ariadne-Indikation-KN2045_Mix,High carbon-price scenario,2027,145.3,€/t,Ariadne
